method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,capacity_factor
greedy_deadline_price,719.9782949572523,171.29496559229744,111.01208812881443,1.8491288954894072,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0028427999932318926,0.0,0.0,,,,,,,,,,,,,0.26
offline_centralized_lp,678.6949041407563,171.29496559229744,127.4868583951162,1.8491288954894074,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.022081500006606802,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,0.26
dual_decomposition,676.718085011378,171.2949655922975,127.48685839511619,1.8523464257752495,0.08,0.08,0.06,0.0716685371796801,0.00385502632699037,0.9997547897344402,0.11268640001071617,0.0,0.0,,250.0,,,,,,,,,,,0.26
offline_admm,680.2319026216866,171.29496559229744,127.48685839511619,1.8491309646052747,0.0,0.0,0.0,4.600264252555775e-05,2.4744665515153387e-06,0.9999999999822698,5.225166999996873,0.0,0.0,,,200.0,0.0007299722406314507,0.08760282015279693,,,,,,,,0.26
online_lyapunov_admm,735.2592706537852,153.99385139153264,99.84116680157929,1.6623633941357507,0.0,0.0,0.0,9.631812576405005e-09,5.180919343391568e-10,0.9999999999999997,0.03415799999493174,0.0,0.0,,,,,,1263.0,45.0,28.066666666666666,5.0022959395356524e-05,0.005872902069061072,1.0,0.015,0.26
uncontrolled_capped,746.1343996103063,159.4363659469252,94.6099506017655,1.7219370145769854,0.02,0.04,0.02,0.01994584397323466,0.0010728801878303528,0.9999008218100821,0.0009960999886970967,0.020833333333333332,3.3867115498602516,,,,,,,,,,,,,0.22
greedy_deadline_price,709.6010760167441,155.4069655922975,108.72773673008041,1.680777667112916,0.1,0.1,0.06,0.07912177403926904,0.004255933411824198,0.9995445343885734,0.003156399994622916,0.0,0.0,,,,,,,,,,,,,0.22
offline_centralized_lp,694.8199165924475,159.43636594692524,111.59885839511622,1.7211153301842268,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.023619500017957762,0.020833333333333332,3.38671154986028,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,0.22
dual_decomposition,680.6658577792311,159.43636594692524,111.59885839511621,1.7328824188639926,0.12,0.12,0.08,0.27921045497352553,0.015018635750794663,0.9972909618494801,0.13561360002495348,0.020833333333333332,3.38671154986028,,250.0,,,,,,,,,,,0.22
offline_admm,696.1612023710511,155.4069655922975,111.59885839511622,1.677617789636787,0.0,0.0,0.0,3.552713678800501e-17,1.9109926479590344e-18,0.9999999999999997,4.986102199996822,0.0,0.0,,,200.0,3.489649848166642e-05,0.09373863597203753,,,,,,,,0.22
online_lyapunov_admm,717.3222301659013,148.0166746263745,104.01528297843917,1.5978397795842185,0.0,0.0,0.0,2.7755575615628914e-19,1.4929630062179956e-20,0.9999999999999997,0.023349700000835583,0.0,0.0,,,,,,1433.0,46.0,31.152173913043477,0.00012850524504344667,0.006397265788605749,1.0,0.015,0.22
